Model,Central Unit,Marker Opacity,Background,Lighting,Avg FPS,Avg DPS,Frames,Detections,Time,Accuracy,F1Score
YOLO,1,25,Clean,Bright,52.95,52.9,896,895,16.92,1.0,1.0
YOLO,1,50,Clean,Bright,52.82,52.76,896,895,16.96,1.0,1.0
YOLO,1,75,Clean,Bright,54.61,54.61,863,863,15.8,1.0,1.0
YOLO,1,100,Clean,Bright,53.26,52.41,876,862,16.45,0.98,0.99
YOLO,1,25,Clean,Dark,53.43,49.92,851,795,15.93,0.93,0.97
YOLO,1,50,Clean,Dark,52.98,53.7,882,894,16.65,1.0,1.01
YOLO,1,75,Clean,Dark,48.95,49.23,874,879,17.85,1.0,1.0
YOLO,1,100,Clean,Dark,49.97,50.37,869,876,17.39,1.0,1.0
YOLO,1,25,Noisy,Bright,54.58,49.36,888,803,16.27,0.9,0.95
YOLO,1,50,Noisy,Bright,50.53,50.07,882,874,17.45,0.99,1.0
YOLO,1,75,Noisy,Bright,52.17,50.24,865,833,16.58,0.96,0.98
YOLO,1,100,Noisy,Bright,53.47,51.42,888,854,16.61,0.96,0.98
YOLO,1,25,Noisy,Dark,51.61,45.51,837,738,16.22,0.88,0.94
YOLO,1,50,Noisy,Dark,53.43,41.0,881,676,16.49,0.77,0.87
YOLO,1,75,Noisy,Dark,50.82,32.97,851,552,16.74,0.65,0.79
YOLO,1,100,Noisy,Dark,57.14,37.15,846,550,14.8,0.65,0.79
ARUCO,1,25,Clean,Bright,62.32,17.18,896,247,14.38,0.28,0.43
ARUCO,1,50,Clean,Bright,60.08,57.19,896,853,14.91,0.95,0.98
ARUCO,1,75,Clean,Bright,61.46,60.89,863,855,14.04,0.99,1.0
ARUCO,1,100,Clean,Bright,62.35,61.42,876,863,14.05,0.99,0.99
ARUCO,1,25,Clean,Dark,60.54,11.24,851,158,14.06,0.19,0.31
ARUCO,1,50,Clean,Dark,59.18,28.79,882,429,14.9,0.49,0.65
ARUCO,1,75,Clean,Dark,61.86,27.39,874,387,14.13,0.44,0.61
ARUCO,1,100,Clean,Dark,62.61,30.33,869,421,13.88,0.48,0.65
ARUCO,1,25,Noisy,Bright,47.56,27.37,888,511,18.67,0.58,0.73
ARUCO,1,50,Noisy,Bright,45.88,41.19,882,792,19.23,0.9,0.95
